Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",99.000000,-79.000000,180.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",118.500000,-83.000000,90.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.000000,-133.812500,90.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",93.250000,-131.000000,180.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",100.500000,-128.500000,-90.000000,top
"D1","LED","LED_D5.0mm",151.250000,-91.725000,-90.000000,top
"D2","LED","LED_D5.0mm",143.000000,-92.000000,-90.000000,top
"D3","LED","LED_D5.0mm",134.500000,-92.000000,-90.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",102.550000,-74.750000,0.000000,top
"D5","LED","LED_D5.0mm",125.750000,-91.975000,-90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",90.367500,-97.250000,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",116.000000,-93.000000,90.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",151.250000,-84.580000,90.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",142.750000,-84.580000,90.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",134.250000,-84.830000,90.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",125.250000,-84.830000,90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",160.650000,-118.560000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",160.750000,-121.250000,0.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",134.250000,-133.750000,90.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",161.000000,-125.250000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.500000,-133.800000,90.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",140.750000,-133.750000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",144.000000,-134.000000,90.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",147.250000,-134.000000,90.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",130.750000,-133.750000,90.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",161.000000,-128.500000,0.000000,top
"R15","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",160.450000,-105.560000,0.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",160.450000,-115.560000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",160.450000,-109.000000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",160.450000,-112.310000,0.000000,top
"R19","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",86.000000,-121.250000,-90.000000,top
"R20","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",86.000000,-128.000000,-90.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",140.000000,-143.250000,180.000000,top
"SW2","SW_SPDT_312","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",104.000000,-116.750000,-90.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm_Socket_LongPads",111.060000,-87.060000,180.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",120.730000,-107.360000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",132.440000,-107.360000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",144.150000,-107.360000,0.000000,top
"U5","HDSP-7401","HDSP-7401",166.750000,-110.250000,0.000000,top
"U6","74LVC1G11","SOT-23-6",111.887500,-118.000000,180.000000,top
"U7","NE555P","DIP-8_W7.62mm",89.445000,-119.690000,0.000000,top
